epoch,g_loss,d_loss,l1,adv,perc,ssim,val_psnr,val_ssim
1,99.29980264282227,0.21564992728829385,0.5919332256317139,2.6566069905757903,3.5973641567230223,0.9348449480533599,10.08747917175293,0.13695975314825773
2,85.4315014038086,0.06722942493110895,0.49488414561748506,4.209162930488587,3.1313403663635255,0.8417004868984223,10.952289218902587,0.21436386173591018
3,83.05543405151367,0.026631730906665325,0.48338068783283233,4.883464418411255,2.992074602127075,0.7849623136520386,10.99205774307251,0.23093577031046153
4,81.88004205322265,0.0502060352023691,0.48023143541812896,5.000954755783081,2.909237961769104,0.7546804883480072,11.150478954315185,0.223272520378232
5,81.0125932006836,0.039428462259471414,0.4767079349756241,5.148970955848694,2.8553531770706178,0.7379275467395783,11.12498447418213,0.254825722463429
6,80.42782446289063,0.04773246244341135,0.4747686719894409,5.239070330619812,2.817139801979065,0.7200079410076141,11.044580249786376,0.19105656602885573
7,80.08588900756835,0.04393916472233832,0.4729674290418625,5.76813318824768,2.779972146987915,0.7017860214710235,11.282229270935058,0.2515615099668503
8,79.55249188232422,0.00818116534780711,0.469891388297081,6.057729658126831,2.7473368444442747,0.687039897441864,11.250333499908447,0.2505978487432003
9,79.28085015869141,0.04525102039705962,0.47034116816520694,5.4540978469848636,2.745877995491028,0.6869681084156036,11.37925235748291,0.2620268709585071
10,79.49278973388672,0.0352407281268388,0.4711708561182022,5.726456046104431,2.746599061012268,0.6821618070602417,11.26482395172119,0.24188485480844973
11,79.24107261657714,0.04184907305426896,0.47092216038703916,5.528921507835388,2.736304451942444,0.6737838335037232,11.28085657119751,0.26520759787410497
12,79.1156615600586,0.02536125838989392,0.46862142145633695,6.069614062309265,2.7220924863815306,0.6659290289878845,11.37489854812622,0.24706126611679793
13,78.67957873535157,0.010726893193088472,0.4663063025474548,6.028512887954712,2.7041779594421387,0.6643041663169861,11.380646305084229,0.27720763634890316
14,78.6251224822998,0.035628977920860054,0.46731770956516266,5.643143607139588,2.708417287826538,0.6625356647968292,11.039915943145752,0.2444778400287032
15,79.04105339050292,0.06998132495954633,0.47060060799121856,5.224344672203064,2.738063864707947,0.6627272887229919,11.155431480407715,0.23941539838910103
16,78.98601773071289,0.05872778456658125,0.47024388682842255,5.297633868217468,2.734375349998474,0.6563527357578277,11.31488763809204,0.26941703259944916
17,78.8524090423584,0.05012050790339708,0.4688052864074707,5.395169275283814,2.731995108604431,0.6514482698440551,11.183026390075684,0.2553550972510129
18,78.62400758361817,0.04961775379627943,0.4676566662788391,5.534739369392395,2.716237397193909,0.6428656814098358,11.011109352111816,0.22559861461399122
19,78.43103807067871,0.04829538219794631,0.46676588714122774,5.265862497329712,2.72050088596344,0.6388363869190216,11.180932445526123,0.25037369959056377
20,78.83572637939453,0.032814089566469196,0.4678861309289932,5.437190017700195,2.7411191987991335,0.6391087584495544,10.91378469467163,0.22428482975810765
21,78.55944882202148,0.038437440177425744,0.46469047784805295,5.738966238975525,2.7323483362197876,0.632478194475174,11.365698528289794,0.2821166196465492
22,78.09113702392578,0.04287107880041003,0.4629960160255432,5.844176989555359,2.6984487133026125,0.6283200132846832,11.351811027526855,0.2584381234459579
23,78.08208999633788,0.04038977700471878,0.4640211477279663,5.951461910247803,2.6832847537994384,0.6237989091873168,11.53953649520874,0.2972597446106374
24,77.76727745056152,0.026827478379011154,0.4621814017295837,6.334649648666382,2.6515878582000734,0.6219780418872833,11.470372333526612,0.2760411889354873
25,77.39348382568359,0.006058489283546805,0.4576585605144501,6.785632616043091,2.637301773071289,0.6205978517532349,11.19128496170044,0.2300977965258062
26,77.10534118652343,0.004817254497669637,0.45802294731140136,6.812214380264282,2.605068444252014,0.6154182543754577,11.400693740844726,0.2523389147222042
27,76.64959637451172,0.031031443061307073,0.4569001311063767,6.381684854507446,2.593582021713257,0.6109734482765198,11.526175136566161,0.2743273666873574
28,76.9629109954834,0.03602350764907897,0.4588989111185074,5.61721164226532,2.641280990600586,0.6172013478279114,11.274172229766846,0.2620508375763893
29,77.25443475341797,0.0580956606566906,0.45869010162353513,5.566358429908752,2.6761063175201416,0.6137273392677307,11.441811122894286,0.27377776011824606
30,77.16789950561524,0.04706368599832058,0.45873294746875765,5.441657519340515,2.6746241207122803,0.6091783013343811,11.257611923217773,0.2949983204342425
31,77.71605960083008,0.0672391634322703,0.46149002587795257,4.887194478034973,2.7278012228012085,0.6151492490768432,10.973263759613037,0.25213275380432604
32,81.57244528198243,0.1466015162318945,0.4690952489376068,3.629613196849823,3.089235676765442,0.6519190089702607,11.297356815338135,0.30716805085539817
33,81.1453283996582,0.11384737603366375,0.46489260566234586,3.3826448516845704,3.10169801902771,0.6492551503181457,11.111440505981445,0.25819557208567856
34,82.70225201416015,0.12176415851712227,0.46508168625831603,3.1683561463356016,3.2641031141281127,0.6562914254665375,10.862029056549073,0.2357585785537958
35,83.05031854248047,0.11896313813328743,0.4637626677751541,2.8075107541084288,3.330847640991211,0.6539400877952576,11.158866863250733,0.28318548046052455
36,83.86601760864258,0.11527966198325157,0.4647612044811249,2.888150616168976,3.3917799701690674,0.6760073215961456,11.072161026000977,0.25584082689136267
37,84.47421884155274,0.21036980164051056,0.46521558141708375,2.0444758186340333,3.4836113376617432,0.6981031911373139,11.043507175445557,0.24882866393774747
38,82.86087942504882,0.18811415183544158,0.4618038798570633,2.2313903093338014,3.352327247619629,0.6805078637599945,11.024133415222169,0.23660099759697914
39,81.15172158813476,0.22620460224151612,0.45679360687732695,2.1458983397483826,3.23960866355896,0.6677750000953674,11.214537467956543,0.25569986082613466
40,80.0577600402832,0.2017538286447525,0.45451055717468264,2.1112187252044676,3.1583084201812746,0.6560036158561706,11.381628742218018,0.27571609143167736
41,78.75033015441895,0.26922747683525083,0.45298308503627777,1.8957593927383423,3.0554992389678954,0.6497166752815247,11.465886363983154,0.27088803592137994
42,77.9308310546875,0.2367589739561081,0.4498944189548492,1.9001716685295105,3.007215640068054,0.6397158257961273,11.472341041564942,0.2887703164294362
43,77.96846807861328,0.217538978099823,0.450126712679863,1.9763934245109558,3.0051298446655275,0.6387671782970429,11.505470523834228,0.2822282502427697
44,77.33529374694824,0.31606845343112944,0.45064925372600556,1.7624704003334046,2.949490526199341,0.631409214258194,11.247494449615479,0.2577665676549077
45,76.93746286010742,0.20679451620578765,0.4478970901966095,1.9732077565193176,2.9273239583969115,0.6293033258914947,11.64280948638916,0.30531913816928863
46,76.81107171630859,0.19512106782197952,0.44702222049236295,2.06469740152359,2.9200013360977173,0.6254958910942078,11.560188407897948,0.28802351363003253
47,76.54702719116212,0.20452931374311448,0.44456563556194306,2.005654517173767,2.921482476234436,0.6242704710960388,11.467261600494385,0.26893460404127834
48,76.85068231201171,0.21982887548208235,0.44622083723545075,1.9564891314506532,2.9366543474197386,0.6279368767738343,11.467986583709717,0.2791561309993267
49,76.6122585144043,0.23542039835453032,0.44468441796302793,1.8689016184806824,2.9321769723892213,0.6291987059116364,11.440519180297851,0.29298426743596795
50,76.35727578735352,0.22788864254951477,0.4426987272500992,1.9296436347961425,2.9223808345794677,0.6329242932796478,11.653072071075439,0.29483954563736914
51,78.15818193054199,0.2619194152355194,0.4503745141029358,1.692022503376007,3.0263314571380615,0.6704682950973511,11.139977703094482,0.2643666485697031
52,79.60683888244628,0.24276319074630737,0.4539328589439392,1.7060092520713805,3.1261588706970214,0.6996531524658203,11.149619522094726,0.26483543407171967
